customerid,name,address,city,state,pincode,update_timestamp
1,Yasmin Gola,"331
Goswami Road
Gwalior-138933",Mumbai,Maharashtra,400130,1993-12-28 09:07:51
2,Biju Kakar,"H.No. 741, Kaul
Gudivada-758542",Aara,Bihar,400095,1982-11-28 01:16:32
3,Myra Brar,"78/660, Varughese Road, Udupi 215770",Bangalore,Karnataka,400130,2008-05-29 02:36:45
4,Kiaan Barad,"18, Zachariah Nagar
Bettiah-368551",patna,Bihar,400111,2003-04-27 23:10:35
5,Nirvaan Chand,"932, Bora Ganj
Delhi-663830",Kota,Rajasthan,400077,1984-12-16 04:31:44
6,Shray Keer,"H.No. 564
Wagle Path, Kirari Suleman Nagar 071255",Kota,Rajasthan,400153,1986-05-20 14:47:34
7,Badal Comar,"86/63, Sundaram Chowk
Chandrapur 545806",Muzaffarpur,Bihar,400077,2013-03-30 01:54:15
8,Hazel Suresh,"H.No. 56, Iyengar Circle, Kolhapur 453612",Munnar,Kerala,400139,2021-02-05 10:54:40
9,Biju Kulkarni,"H.No. 570
Goda Chowk
Noida 896755",Chennai,Tamil Nadu,400115,2005-04-25 04:10:39
10,Lakshit Reddy,"02
Viswanathan Nagar
Dharmavaram-905449",Munnar,Kerala,400139,2016-05-18 22:14:54
11,Anya Suresh,"H.No. 34, Kapur Nagar, Belgaum-930334",Mysore,Karnataka,400097,1980-06-15 16:53:36
12,Aradhya Sarraf,"H.No. 244
Kuruvilla Chowk, Darbhanga-633338",Chennai,Tamil Nadu,400152,1987-12-14 10:32:31
13,Anahita Agate,"88/56
Barad Ganj
Sonipat-181041",Purnia,Bihar,400087,1991-09-10 15:26:11
14,Mohanlal Aggarwal,"46/47, Bandi Path, Kirari Suleman Nagar-578289",Mysore,Karnataka,400134,2015-10-08 14:25:08
15,Riya Devan,"H.No. 371, Amble Marg
Moradabad-206083",Udaipur,Rajasthan,400071,2016-01-25 23:32:58
16,Neelofar Toor,"H.No. 947, Yohannan Path
Avadi-621706",Nagpur,Maharashtra,400140,1989-04-21 16:29:30
17,Samarth Ramachandran,"H.No. 98, Choudhary Circle, Begusarai 860446",Gaya,Bihar,400094,2005-08-07 06:04:03
18,Inaaya  Hora,"12/862
Kibe Ganj
Secunderabad 092528",Munnar,Kerala,400147,1998-04-07 19:14:40
19,Vedika Dhar,"03/28
Ghose
Bellary 906424",Vellore,Tamil Nadu,400097,2004-01-22 08:13:29
20,Miraya Kalita,"H.No. 178
Din
Alwar-606151",Mysore,Karnataka,400086,2017-12-26 00:30:58
21,Taran Dugar,"15/25, Bhat Street, Allahabad 595393",Bangalore,Karnataka,400141,2007-03-22 23:02:13
22,Sara Choudhry,"391
Sami Marg, Katihar 173129",Thane,Maharashtra,400152,2005-09-13 17:58:29
23,Kiaan Sane,"38/93
Konda Circle, Bhilai 479147",Chennai,Tamil Nadu,400090,2021-05-20 10:52:25
24,Shlok Goswami,"H.No. 25
Butala Ganj
Fatehpur 394085",Udaipur,Rajasthan,400090,2008-03-05 15:15:46
25,Amira Tandon,"104, Koshy Street
Tadepalligudem 331562",Nashik,Maharashtra,400141,1979-03-13 23:41:52
26,Veer Bobal,"H.No. 38
Shanker Nagar, Nanded-959865",Sikar,Rajasthan,400113,1991-07-11 11:29:12
27,Romil Lalla,"48/409
Bhavsar Chowk
Bhind-038469",Lonavala,Maharashtra,400077,2003-02-22 09:21:02
28,Akarsh Kar,"70
Kunda Street, Madanapalle 872072",Kota,Rajasthan,400139,2011-01-20 01:53:42
29,Anya Kalita,"40, Sawhney
Agra 841703",Aara,Bihar,400097,2017-05-16 00:43:44
30,Ahana  Chacko,"54/73
Agate Zila
Tiruchirappalli 496936",Chennai,Tamil Nadu,400113,1979-12-03 05:40:24
31,Emir Sood,"112, Srinivas Zila
Tiruvottiyur-253791",Gaya,Bihar,400113,1982-08-02 22:01:05
32,Elakshi Manda,"H.No. 126
Singhal Ganj, Hosur 806114",Kota,Rajasthan,400111,2020-06-25 17:24:33
33,Ivana Ranganathan,"66
Sule Marg
Shivpuri-980217",Chennai,Tamil Nadu,400090,2005-11-21 15:12:49
34,Yuvaan Halder,"609, Viswanathan Nagar
Moradabad-853714",patna,Bihar,400122,1996-08-29 19:38:14
35,Yuvraj  Dhar,"H.No. 46, Borra, Hyderabad-017928",Vellore,Tamil Nadu,400095,1994-09-08 20:21:18
36,Raunak Singh,"H.No. 05, Sant Ganj, Nanded-999768",Chennai,Tamil Nadu,400086,1999-08-01 05:59:58
37,Tejas Kaur,"H.No. 49
Roy Road, Faridabad 226898",Gaya,Bihar,400094,1978-09-07 08:35:12
38,Eva Desai,"H.No. 455, Kale Nagar, Eluru-274011",Vellore,Tamil Nadu,400147,1979-10-08 11:49:19
39,Madhav Sami,"75
Rout Marg, North Dumdum 382156",Udaipur,Rajasthan,400141,1994-11-29 08:17:52
40,Vihaan Baria,"688, Dhar Street
Kurnool 961823",Trivandrum,Kerala,400113,1992-04-15 16:52:28
41,Saksham Sarin,"70
Bumb Circle, Thoothukudi-029311",Jaipur,Rajasthan,400113,2016-01-28 12:31:51
42,Ranbir Ahluwalia,"18
Handa
Buxar 192580",Vellore,Tamil Nadu,400113,1972-03-14 16:36:32
43,Faiyaz Kalla,"05/98, Bakshi Ganj, Arrah-856966",Chennai,Tamil Nadu,400115,1972-02-17 22:22:10
44,Drishya Din,"26/52, Saini Zila
Jehanabad-781806",Vellore,Tamil Nadu,400113,1979-09-02 20:54:44
45,Umang Bahl,"48, Setty Nagar, Orai-191789",Bangalore,Karnataka,400134,1987-11-19 19:09:00
46,Jivin Devi,"H.No. 966, Hari Marg, Jodhpur 571406",Bangalore,Karnataka,400095,1988-09-06 14:15:14
47,Myra Shere,"H.No. 00
Desai Chowk
Panihati 883545",Sikar,Rajasthan,400113,1983-03-11 22:16:45
48,Anay Vora,"62/93
Srinivas Marg
Durg 628154",Chennai,Tamil Nadu,400087,2008-12-10 23:36:30
49,Fateh Badal,"607, Behl Circle
Vijayawada-711575",Bangalore,Karnataka,400141,1993-12-06 17:28:13
50,Vedika Kari,"60/939
Wason Road
South Dumdum-434650",Trivandrum,Kerala,400097,1973-08-08 21:28:40
51,Mannat Sachar,"57
Dhar Chowk
Kalyan-Dombivli-789127",Lonavala,Maharashtra,400090,1977-09-13 09:01:27
52,Vaibhav Singhal,"75/41
Chanda Path
Chandrapur-614732",Sikar,Rajasthan,400086,1978-03-11 14:08:50
53,Fateh Comar,"H.No. 170, Agrawal Nagar, Bongaigaon-168006",Trivandrum,Kerala,400130,1993-09-02 07:50:44
54,Anahita Cheema,"138
Ramakrishnan Chowk
Ranchi-889587",Purnia,Bihar,400115,2020-06-12 10:56:59
55,Emir Sama,"90/85
Khalsa Zila
Alappuzha 232548",Purnia,Bihar,400141,1991-12-31 03:38:08
56,Nitya Trivedi,"388, Venkatesh Nagar
Bardhaman-812520",Jaipur,Rajasthan,400140,2012-04-02 16:46:52
57,Renee Karnik,"09/03
Walla Nagar, Dhule 983494",Thane,Maharashtra,400077,2022-04-02 11:37:12
58,Bhamini Ramakrishnan,"H.No. 95
Wable, Tenali 603263",Thane,Maharashtra,400095,1986-04-18 22:50:30
59,Aaryahi Warrior,"37/05
Sanghvi Road, Hosur-750485",Pune,Maharashtra,400133,2010-04-27 08:42:11
60,Vihaan Chakrabarti,"309
Viswanathan Road
Kozhikode 742915",Nagpur,Maharashtra,400087,1979-03-28 17:03:16
61,Ira Majumdar,"525, Gopal Chowk, Bidhannagar 218901",Udaipur,Rajasthan,400115,1989-03-11 21:45:32
62,Kiaan Divan,"92/13, Khurana Road, Etawah 816900",Nashik,Maharashtra,400115,2003-01-15 21:18:29
63,Lavanya Rao,"H.No. 053
Virk Ganj
Chittoor-666659",Vellore,Tamil Nadu,400097,2000-04-21 12:15:19
64,Darshit Chandra,"H.No. 69, Varkey Road, Morena 888357",Trivandrum,Kerala,400130,1990-10-10 18:18:22
65,Riaan Balakrishnan,"87/80, Chana Chowk, Davanagere 237512",Nashik,Maharashtra,400115,2014-08-29 23:07:18
66,Samar Sengupta,"12, Deep Chowk, Korba-308918",Muzaffarpur,Bihar,400141,1973-07-10 08:10:25
